tecnica_analitica,tipo_base,acuracia,sensibilidade,especificidade,precisao,VP,FP,VN,FN
Árvore de decisão,Previsão,0.768640350877193,0.7253521126760564,0.8065843621399177,0.7667493796526055,927,351,1176,282
Random Forest (Grid Search),Previsão,0.89546783625731,0.8435054773082942,0.9410150891632373,0.9261168384879725,1078,200,1372,86
XGBoost (Grid Search),Previsão,0.9089912280701754,0.8701095461658842,0.9430727023319616,0.9305439330543933,1112,166,1375,83
SVM (Grid Search),Previsão,0.9513888888888888,0.9491392801251957,0.953360768175583,0.9469164715066355,1213,65,1390,68
K-Nearest Neighbors,Previsão,0.8797514619883041,0.8748043818466353,0.8840877914951989,0.8686868686868687,1118,160,1289,169
Rede Neural MLP,Previsão,0.9513888888888888,0.9499217527386542,0.9526748971193416,0.946219797349961,1214,64,1389,69
