features,importance_tree,importance_rf,importance_xgb,importance_svm,importance_knn,importance_mlp,importance_media
ATAQUE_B,0.5165516551655166,0.28112811281128114,0.26427355,0.3688145247419011,0.2899854862119013,0.3609921484653818,0.3469575802471112
ATAQUE_A,0.04490449044904491,0.25802580258025803,0.23947605,0.36276254894980425,0.25312046444121916,0.36241970021413267,0.25345151025688406
SAQUE_A,0.06580658065806581,0.06900690069006901,0.0889911,0.09700961196155215,0.08476052249637155,0.0931477516059957,0.08312041091966028
SAQUE_B,0.03920392039203921,0.063006300630063,0.0909909,0.09487362050551798,0.05863570391872278,0.0917201998572448,0.07307177438282249
BLOQUEIO_B,0.2560256025602561,0.08000800080008001,0.025397459,0.00177999288002848,0.051959361393323654,0.0030335474660956453,0.06970066069080606
DEFESA_A,0.0,0.043404340434043405,0.05929407,0.02758988964044144,0.05602322206095791,0.032833690221270515,0.03652420223420191
DEFESA_B,0.0019001900190019005,0.0429042904290429,0.046995297,0.030615877536489856,0.05108853410740203,0.02944325481798715,0.03382457399737363
BLOQUEIO_A,0.0006000600060006001,0.08400840084008401,0.02989701,0.00711997152011392,0.07198838896952103,0.00356887937187723,0.03286378511024221
RECEPCAO_A,0.04800480048004801,0.0336033603360336,0.0519948,0.005161979352082592,0.026995645863570387,0.007673090649536044,0.02890561287481627
RECEPCAO_B,0.005500550055005501,0.0157015701570157,0.018198181,0.002313990744037024,0.017126269956458634,0.00856531049250535,0.01123431205812495
LEVANTAMENTO_A,0.014601460146014603,0.013601360136013601,0.02559744,-0.0,0.003773584905660377,-0.001427551748750892,0.009357715586298708
LEVANTAMENTO_B,0.0042004200420042,0.011801180118011801,0.01809819,0.001245995016019936,0.013933236574746006,0.0021413276231263376,0.00857005830012246
ID_SET_2,0.0,0.0012001200120012,0.02329767,-0.000355998576005696,0.02438316400580551,0.0010706638115631688,0.008265936436561044
ID_SET_4,0.00010001000100010003,0.0007000700070007,0.01749825,0.001957992168031328,0.008708272859216255,0.004639543183440399,0.005600689567792385
FASE_FINAL,0.0,0.0005000500050005,0.0,0.001067995728017088,0.006095791001451378,-0.001427551748750892,0.0010393808309530122
ID_SET_5,0.0026002600260026003,0.0005000500050005,0.0,-0.003203987184051264,-0.003773584905660377,-0.001784439685938615,-0.0009436169574411926
ID_SET_3,0.0,0.0009000900090009,0.0,0.001245995016019936,-0.014804063860667634,0.0033904354032833683,-0.0015445905720605716
