ID_PARTIDA,ID_SET,TIMEA,TIMEB,ATAQUE_A,SAQUE_A,BLOQUEIO_A,RECEPCAO_A,LEVANTAMENTO_A,DEFESA_A,ATAQUE_B,SAQUE_B,BLOQUEIO_B,RECEPCAO_B,LEVANTAMENTO_B,DEFESA_B,FASE_FINAL,VENCEU_SET_A_ANTERIOR,VENCEU_SET_B_ANTERIOR,VENCEU_SET_A,VENCEU_SET_B
11344,1,Canada,Italy,25.0,0.0,-15.789473684210524,68.42105263157895,45.833333333333336,-22.22222222222222,29.032258064516128,3.7037037037037037,-42.10526315789474,80.0,51.72413793103448,-20.0,False,,,True,False
11344,2,Canada,Italy,54.166666666666664,8.0,-23.076923076923077,53.333333333333336,61.904761904761905,7.142857142857143,14.814814814814813,5.5555555555555545,-54.54545454545455,30.0,41.666666666666664,-20.0,False,True,False,True,False
11344,3,Canada,Italy,37.5,4.761904761904762,-54.54545454545455,38.888888888888886,57.142857142857146,0.0,57.89473684210526,8.0,-27.272727272727273,46.15384615384615,64.70588235294117,-28.571428571428573,False,True,False,False,True
11344,4,Canada,Italy,14.705882352941176,5.2631578947368425,-60.0,20.0,35.483870967741936,44.44444444444444,47.82608695652174,8.333333333333334,-10.526315789473685,14.285714285714286,52.38095238095237,5.000000000000002,False,False,True,False,True
11344,5,Canada,Italy,35.294117647058826,0.0,-50.0,38.46153846153846,53.333333333333336,-15.384615384615385,55.55555555555556,6.666666666666667,-25.0,66.66666666666667,50.0,30.76923076923077,False,False,True,False,True
11345,1,Brazil,Tunisia,28.571428571428573,4.166666666666666,-33.333333333333336,52.63157894736842,46.15384615384615,33.333333333333336,10.714285714285714,4.3478260869565215,-42.10526315789474,77.77777777777777,39.285714285714285,10.0,False,,,True,False
11345,2,Brazil,Tunisia,29.032258064516128,8.0,-9.09090909090909,81.25,55.172413793103445,31.57894736842105,36.36363636363636,0.0,-22.22222222222222,33.333333333333336,30.434782608695652,-38.46153846153846,False,True,False,True,False
11345,3,Brazil,Tunisia,44.44444444444444,4.166666666666666,-21.428571428571427,90.9090909090909,50.0,62.5,13.043478260869563,0.0,-45.454545454545446,75.0,30.43478260869565,-23.529411764705884,False,True,False,True,False
11346,1,Argentina,ROC,42.30769230769231,3.9999999999999996,-26.666666666666668,87.5,66.66666666666667,-9.090909090909092,39.130434782608695,0.0,-58.333333333333336,61.111111111111114,52.17391304347826,-30.76923076923077,False,,,True,False
11346,2,Argentina,ROC,12.903225806451612,8.695652173913043,-12.500000000000002,72.72727272727273,48.0,-29.41176470588235,25.0,0.0,-12.5,64.70588235294117,45.833333333333336,-15.789473684210526,False,True,False,False,True
