ID_PARTIDA,ID_SET,TIMEA,TIMEB,ATAQUE_A,SAQUE_A,BLOQUEIO_A,RECEPCAO_A,LEVANTAMENTO_A,DEFESA_A,ATAQUE_B,SAQUE_B,BLOQUEIO_B,RECEPCAO_B,LEVANTAMENTO_B,DEFESA_B,FASE_FINAL,VENCEU_SET_A_ANTERIOR,VENCEU_SET_B_ANTERIOR,VENCEU_SET_A,VENCEU_SET_B
11382,1,Italy,ROC,18.42105263157895,4.166666666666666,-7.142857142857143,68.18181818181819,38.23529411764706,19.047619047619047,1.3322676295501878e-15,0.0,9.999999999999998,50.0,28.571428571428566,-3.4482758620689653,False,,,True,False
11382,2,Italy,ROC,44.44444444444444,4.545454545454546,16.666666666666668,58.333333333333336,42.857142857142854,39.99999999999999,2.7777777777777777,0.0,-43.75,68.42105263157895,28.124999999999996,9.523809523809526,False,True,False,True,False
11382,3,Italy,ROC,53.84615384615385,12.5,-8.333333333333334,92.3076923076923,53.84615384615385,41.1764705882353,11.538461538461538,0.0,-41.666666666666664,50.0,31.57894736842105,-43.75,False,True,False,True,False
11383,1,Argentina,USA,44.827586206896555,0.0,-38.46153846153846,38.09523809523809,57.14285714285713,-18.18181818181818,42.30769230769231,12.5,-50.0,64.70588235294117,56.0,28.571428571428573,False,,,False,True
11383,2,Argentina,USA,3.7037037037037033,0.0,-18.181818181818183,23.529411764705884,28.571428571428577,23.80952380952381,25.806451612903224,8.0,-7.142857142857143,80.0,44.827586206896555,30.0,False,False,True,False,True
11383,3,Argentina,USA,20.58823529411765,0.0,-42.857142857142854,69.56521739130434,29.41176470588235,-4.761904761904762,29.032258064516128,0.0,-20.0,80.0,46.875,33.333333333333336,False,False,True,False,True
11384,1,Dominican Republic,Serbia,-9.375,0.0,-50.0,71.42857142857143,30.0,-31.818181818181817,35.714285714285715,0.0,6.249999999999999,64.28571428571429,48.148148148148145,38.888888888888886,False,,,False,True
11384,2,Dominican Republic,Serbia,4.166666666666667,0.0,-10.0,21.05263157894737,20.0,-25.0,30.76923076923077,12.5,27.77777777777778,81.81818181818181,50.0,27.77777777777778,False,False,True,False,True
11384,3,Dominican Republic,Serbia,6.250000000000004,0.0,-40.0,65.0,31.250000000000004,4.545454545454546,51.851851851851855,3.9999999999999996,-6.249999999999998,70.58823529411765,53.84615384615385,-10.0,False,False,True,False,True
11385,1,China,Türkiye,36.0,9.523809523809524,-81.81818181818181,55.55555555555555,36.36363636363637,-31.25,64.28571428571429,0.0,-18.181818181818183,60.0,69.23076923076923,-5.263157894736842,False,,,False,True
11385,2,China,Türkiye,11.11111111111111,6.666666666666666,-33.333333333333336,33.333333333333336,32.0,-31.249999999999996,41.37931034482759,12.5,-16.666666666666668,64.28571428571429,55.55555555555556,42.10526315789474,False,False,True,False,True
11385,3,China,Türkiye,-14.285714285714286,0.0,-25.0,47.61904761904762,17.391304347826086,-7.692307692307692,30.0,4.166666666666667,6.25,84.61538461538461,49.99999999999999,7.6923076923076925,False,False,True,False,True
11386,1,Japan,Kenya,35.714285714285715,8.333333333333334,-15.384615384615385,42.857142857142854,46.42857142857143,38.888888888888886,10.344827586206895,0.0,-21.052631578947366,33.333333333333336,36.0,-5.2631578947368425,False,,,True,False
11386,2,Japan,Kenya,60.0,0.0,-1.2918958832001822e-15,75.0,62.5,54.54545454545455,-8.0,0.0,-57.142857142857146,42.857142857142854,13.636363636363637,-53.84615384615385,False,True,False,True,False
11386,3,Japan,Kenya,22.22222222222222,0.0,-27.272727272727273,50.0,36.36363636363637,7.407407407407407,20.0,0.0,0.0,58.333333333333336,43.243243243243235,15.624999999999996,False,True,False,True,False
11387,1,Brazil,Korea,41.935483870967744,0.0,-30.76923076923077,85.71428571428571,51.724137931034484,69.56521739130434,3.0303030303030303,0.0,-63.63636363636363,44.0,20.689655172413794,-16.666666666666668,False,,,True,False
11387,2,Brazil,Korea,37.142857142857146,0.0,-12.5,35.0,42.42424242424242,13.636363636363637,33.333333333333336,0.0,-50.0,45.45454545454545,46.87500000000001,0.0,False,True,False,True,False
11387,3,Brazil,Korea,34.285714285714285,3.9999999999999996,-6.25,36.84210526315789,50.0,39.130434782608695,6.0606060606060606,0.0,-27.77777777777778,57.142857142857146,33.33333333333333,-16.0,False,True,False,True,False
