,0,1,2,3,4,5
0,11776,2021,VNL,Pool 4 - Preliminary Phase - Men #77,Italy,USA
0,11777,2021,VNL,Pool 4 - Preliminary Phase - Men #78,Canada,Poland
0,11778,2021,VNL,Pool 4 - Preliminary Phase - Men #79,Brazil,Slovenia
0,11779,2021,VNL,Pool 4 - Preliminary Phase - Men #80,Netherlands,France
0,11780,2021,VNL,Pool 4 - Preliminary Phase - Men #81,Argentina,Russia
0,11781,2021,VNL,Pool 4 - Preliminary Phase - Men #82,Serbia,Bulgaria
0,11782,2021,VNL,Pool 4 - Preliminary Phase - Men #83,Slovenia,Australia
0,11783,2021,VNL,Pool 4 - Preliminary Phase - Men #84,Japan,Poland
0,11784,2021,VNL,Pool 4 - Preliminary Phase - Men #85,Netherlands,Italy
0,11785,2021,VNL,Pool 4 - Preliminary Phase - Men #86,Canada,Germany
0,11786,2021,VNL,Pool 4 - Preliminary Phase - Men #87,USA,France
0,11787,2021,VNL,Pool 4 - Preliminary Phase - Men #88,Iran,Brazil
0,11788,2021,VNL,Pool 4 - Preliminary Phase - Men #89,Argentina,Serbia
0,11789,2021,VNL,Pool 4 - Preliminary Phase - Men #90,Bulgaria,Russia
0,11790,2021,VNL,Pool 4 - Preliminary Phase - Men #91,Japan,Canada
0,11791,2021,VNL,Pool 4 - Preliminary Phase - Men #92,Australia,Brazil
0,11792,2021,VNL,Pool 4 - Preliminary Phase - Men #93,Iran,Slovenia
0,11793,2021,VNL,Pool 4 - Preliminary Phase - Men #94,Netherlands,USA
0,11794,2021,VNL,Pool 4 - Preliminary Phase - Men #95,France,Italy
0,11795,2021,VNL,Pool 4 - Preliminary Phase - Men #96,Germany,Poland
0,11796,2021,VNL,Pool 5 - Preliminary Phase - Men #97,Australia,Serbia
0,11797,2021,VNL,Pool 5 - Preliminary Phase - Men #98,Japan,Bulgaria
0,11798,2021,VNL,Pool 5 - Preliminary Phase - Men #99,France,Iran
0,11799,2021,VNL,Pool 5 - Preliminary Phase - Men #100,Canada,Netherlands
0,11800,2021,VNL,Pool 5 - Preliminary Phase - Men #101,Brazil,Italy
0,11801,2021,VNL,Pool 5 - Preliminary Phase - Men #102,Slovenia,USA
0,11802,2021,VNL,Pool 5 - Preliminary Phase - Men #103,Poland,Argentina
0,11803,2021,VNL,Pool 5 - Preliminary Phase - Men #104,Germany,Russia
0,11804,2021,VNL,Pool 5 - Preliminary Phase - Men #105,Canada,Australia
0,11805,2021,VNL,Pool 5 - Preliminary Phase - Men #106,Serbia,Netherlands
0,11806,2021,VNL,Pool 5 - Preliminary Phase - Men #107,Bulgaria,USA
0,11807,2021,VNL,Pool 5 - Preliminary Phase - Men #108,Iran,Poland
0,11808,2021,VNL,Pool 5 - Preliminary Phase - Men #109,Japan,Slovenia
