,0,1,2,3,4,5
0,11905,2021,VNL,Pool 4 - Preliminary Phase - Women #76,USA,Belgium
0,11906,2021,VNL,Pool 4 - Preliminary Phase - Women #77,China,Netherlands
0,11907,2021,VNL,Pool 4 - Preliminary Phase - Women #78,Canada,Serbia
0,11908,2021,VNL,Pool 4 - Preliminary Phase - Women #79,Dominican Republic,Italy
0,11909,2021,VNL,Pool 4 - Preliminary Phase - Women #80,Poland,Brazil
0,11910,2021,VNL,Pool 4 - Preliminary Phase - Women #81,Türkiye,Belgium
0,11911,2021,VNL,Pool 4 - Preliminary Phase - Women #82,USA,Japan
0,11912,2021,VNL,Pool 4 - Preliminary Phase - Women #83,Italy,Netherlands
0,11913,2021,VNL,Pool 4 - Preliminary Phase - Women #84,Dominican Republic,China
0,11914,2021,VNL,Pool 4 - Preliminary Phase - Women #85,Russia,Canada
0,11915,2021,VNL,Pool 4 - Preliminary Phase - Women #86,Korea,Serbia
0,11916,2021,VNL,Pool 4 - Preliminary Phase - Women #87,Thailand,Poland
0,11917,2021,VNL,Pool 4 - Preliminary Phase - Women #88,Germany,Brazil
0,11918,2021,VNL,Pool 4 - Preliminary Phase - Women #89,Belgium,Japan
0,11919,2021,VNL,Pool 4 - Preliminary Phase - Women #90,Russia,Serbia
0,11920,2021,VNL,Pool 4 - Preliminary Phase - Women #91,Netherlands,Dominican Republic
0,11921,2021,VNL,Pool 4 - Preliminary Phase - Women #92,Germany,Poland
0,11922,2021,VNL,Pool 4 - Preliminary Phase - Women #93,China,Italy
0,11923,2021,VNL,Pool 4 - Preliminary Phase - Women #94,Korea,Canada
0,11924,2021,VNL,Pool 4 - Preliminary Phase - Women #95,Brazil,Thailand
0,11925,2021,VNL,Pool 4 - Preliminary Phase - Women #96,USA,Türkiye
0,11926,2021,VNL,Pool 5 - Preliminary Phase - Women #97,Germany,Serbia
0,11927,2021,VNL,Pool 5 - Preliminary Phase - Women #98,Japan,Dominican Republic
0,11928,2021,VNL,Pool 5 - Preliminary Phase - Women #99,Thailand,Belgium
0,11929,2021,VNL,Pool 5 - Preliminary Phase - Women #100,Korea,Brazil
0,11930,2021,VNL,Pool 5 - Preliminary Phase - Women #101,China,Russia
0,11931,2021,VNL,Pool 5 - Preliminary Phase - Women #102,Poland,USA
0,11932,2021,VNL,Pool 5 - Preliminary Phase - Women #103,Canada,Italy
0,11933,2021,VNL,Pool 5 - Preliminary Phase - Women #104,Türkiye,Netherlands
0,11934,2021,VNL,Pool 5 - Preliminary Phase - Women #105,Dominican Republic,Serbia
0,11935,2021,VNL,Pool 5 - Preliminary Phase - Women #106,USA,Russia
0,11936,2021,VNL,Pool 5 - Preliminary Phase - Women #107,Japan,Germany
0,11937,2021,VNL,Pool 5 - Preliminary Phase - Women #108,Thailand,Canada
0,11938,2021,VNL,Pool 5 - Preliminary Phase - Women #109,China,Poland
0,11939,2021,VNL,Pool 5 - Preliminary Phase - Women #110,Korea,Türkiye
0,11940,2021,VNL,Pool 5 - Preliminary Phase - Women #111,Brazil,Netherlands
0,11941,2021,VNL,Pool 5 - Preliminary Phase - Women #112,Belgium,Italy
0,11942,2021,VNL,Pool 5 - Preliminary Phase - Women #113,Dominican Republic,Germany
0,11943,2021,VNL,Pool 5 - Preliminary Phase - Women #114,China,USA
0,11944,2021,VNL,Pool 5 - Preliminary Phase - Women #115,Thailand,Italy
0,11945,2021,VNL,Pool 5 - Preliminary Phase - Women #116,Japan,Serbia
0,11946,2021,VNL,Pool 5 - Preliminary Phase - Women #117,Russia,Poland
0,11947,2021,VNL,Pool 5 - Preliminary Phase - Women #118,Korea,Netherlands
0,11948,2021,VNL,Pool 5 - Preliminary Phase - Women #119,Belgium,Canada
0,11949,2021,VNL,Pool 5 - Preliminary Phase - Women #120,Brazil,Türkiye
0,11950,2021,VNL,Semi-finals - Final Round - Women #121,Brazil,Japan
0,11951,2021,VNL,Semi-finals - Final Round - Women #122,USA,Türkiye
0,11952,2021,VNL,3rd Place - Final Round - Women #123,Japan,Türkiye
0,11953,2021,VNL,Final - Final Round - Women #124,Brazil,USA
0,13754,2022,VNL,Pool 1 - Week 1 - Women #1,Germany,Brazil
0,13755,2022,VNL,Pool 1 - Week 1 - Women #2,USA,Dominican Republic
0,13756,2022,VNL,Pool 2 - Week 1 - Women #3,Thailand,Bulgaria
0,13757,2022,VNL,Pool 2 - Week 1 - Women #4,Türkiye,Italy
0,13758,2022,VNL,Pool 1 - Week 1 - Women #5,Poland,Canada
0,13759,2022,VNL,Pool 1 - Week 1 - Women #6,Korea,Japan
0,13760,2022,VNL,Pool 2 - Week 1 - Women #7,Belgium,Serbia
0,13761,2022,VNL,Pool 2 - Week 1 - Women #8,China,Netherlands
0,13762,2022,VNL,Pool 1 - Week 1 - Women #9,Brazil,Poland
0,13763,2022,VNL,Pool 1 - Week 1 - Women #10,Germany,Japan
0,13764,2022,VNL,Pool 1 - Week 1 - Women #11,Canada,Dominican Republic
0,13765,2022,VNL,Pool 2 - Week 1 - Women #12,Thailand,Serbia
0,13766,2022,VNL,Pool 2 - Week 1 - Women #13,Bulgaria,Netherlands
0,13767,2022,VNL,Pool 2 - Week 1 - Women #14,Belgium,Italy
0,13768,2022,VNL,Pool 1 - Week 1 - Women #15,Germany,Korea
0,13769,2022,VNL,Pool 1 - Week 1 - Women #16,Dominican Republic,Brazil
0,13770,2022,VNL,Pool 1 - Week 1 - Women #17,USA,Canada
0,13771,2022,VNL,Pool 2 - Week 1 - Women #18,Serbia,Bulgaria
0,13772,2022,VNL,Pool 2 - Week 1 - Women #19,Netherlands,Italy
0,13773,2022,VNL,Pool 2 - Week 1 - Women #20,Türkiye,China
0,13774,2022,VNL,Pool 1 - Week 1 - Women #21,Korea,Poland
0,13775,2022,VNL,Pool 1 - Week 1 - Women #22,Dominican Republic,Japan
0,13776,2022,VNL,Pool 1 - Week 1 - Women #23,USA,Brazil
0,13777,2022,VNL,Pool 2 - Week 1 - Women #24,Thailand,Belgium
0,13778,2022,VNL,Pool 2 - Week 1 - Women #25,China,Italy
0,13779,2022,VNL,Pool 2 - Week 1 - Women #26,Bulgaria,Türkiye
0,13780,2022,VNL,Pool 1 - Week 1 - Women #27,Poland,Germany
0,13781,2022,VNL,Pool 1 - Week 1 - Women #28,Japan,USA
0,13782,2022,VNL,Pool 1 - Week 1 - Women #29,Korea,Canada
0,13783,2022,VNL,Pool 2 - Week 1 - Women #30,Serbia,Netherlands
0,13784,2022,VNL,Pool 2 - Week 1 - Women #31,Thailand,China
0,13785,2022,VNL,Pool 2 - Week 1 - Women #32,Türkiye,Belgium
0,13786,2022,VNL,Pool 3 - Week 2 - Women #33,Netherlands,Germany
0,13787,2022,VNL,Pool 3 - Week 2 - Women #34,Serbia,Italy
0,13788,2022,VNL,Pool 4 - Week 2 - Women #35,Canada,Thailand
0,13789,2022,VNL,Pool 4 - Week 2 - Women #36,Japan,Poland
0,13790,2022,VNL,Pool 3 - Week 2 - Women #37,Dominican Republic,Korea
0,13791,2022,VNL,Pool 3 - Week 2 - Women #38,Brazil,Türkiye
0,13792,2022,VNL,Pool 4 - Week 2 - Women #39,Bulgaria,USA
0,13793,2022,VNL,Pool 4 - Week 2 - Women #40,China,Belgium
0,13794,2022,VNL,Pool 3 - Week 2 - Women #41,Serbia,Korea
0,13795,2022,VNL,Pool 3 - Week 2 - Women #42,Italy,Dominican Republic
0,13796,2022,VNL,Pool 3 - Week 2 - Women #43,Netherlands,Brazil
0,13797,2022,VNL,Pool 4 - Week 2 - Women #44,Poland,Thailand
0,13798,2022,VNL,Pool 4 - Week 2 - Women #45,Canada,Belgium
0,13799,2022,VNL,Pool 4 - Week 2 - Women #46,Bulgaria,Japan
0,13800,2022,VNL,Pool 3 - Week 2 - Women #47,Germany,Italy
0,13801,2022,VNL,Pool 3 - Week 2 - Women #48,Serbia,Türkiye
0,13802,2022,VNL,Pool 3 - Week 2 - Women #49,Netherlands,Dominican Republic
0,13803,2022,VNL,Pool 4 - Week 2 - Women #50,Poland,USA
0,13804,2022,VNL,Pool 4 - Week 2 - Women #51,China,Canada
0,13805,2022,VNL,Pool 4 - Week 2 - Women #52,Japan,Thailand
0,13806,2022,VNL,Pool 3 - Week 2 - Women #53,Italy,Brazil
0,13807,2022,VNL,Pool 3 - Week 2 - Women #54,Germany,Türkiye
0,13808,2022,VNL,Pool 3 - Week 2 - Women #55,Netherlands,Korea
0,13809,2022,VNL,Pool 4 - Week 2 - Women #56,Bulgaria,Canada
0,13810,2022,VNL,Pool 4 - Week 2 - Women #57,Belgium,Poland
0,13811,2022,VNL,Pool 4 - Week 2 - Women #58,USA,China
0,13812,2022,VNL,Pool 3 - Week 2 - Women #59,Brazil,Serbia
0,13813,2022,VNL,Pool 3 - Week 2 - Women #60,Germany,Dominican Republic
0,13814,2022,VNL,Pool 3 - Week 2 - Women #61,Türkiye,Korea
0,13815,2022,VNL,Pool 4 - Week 2 - Women #62,Bulgaria,Belgium
0,13816,2022,VNL,Pool 4 - Week 2 - Women #63,Thailand,USA
0,13817,2022,VNL,Pool 4 - Week 2 - Women #64,Japan,China
0,13818,2022,VNL,Pool 5 - Week 3 - Women #65,Serbia,Germany
0,13819,2022,VNL,Pool 5 - Week 3 - Women #66,Canada,Türkiye
0,13820,2022,VNL,Pool 6 - Week 3 - Women #67,China,Brazil
0,13821,2022,VNL,Pool 6 - Week 3 - Women #68,Dominican Republic,Bulgaria
0,13822,2022,VNL,Pool 5 - Week 3 - Women #69,Japan,Netherlands
0,13823,2022,VNL,Pool 5 - Week 3 - Women #70,Belgium,USA
0,13824,2022,VNL,Pool 6 - Week 3 - Women #71,Thailand,Korea
0,13825,2022,VNL,Pool 6 - Week 3 - Women #72,Italy,Poland
0,13826,2022,VNL,Pool 5 - Week 3 - Women #73,Türkiye,Netherlands
0,13827,2022,VNL,Pool 5 - Week 3 - Women #74,Germany,Belgium
0,13828,2022,VNL,Pool 5 - Week 3 - Women #75,USA,Serbia
0,13829,2022,VNL,Pool 6 - Week 3 - Women #76,Thailand,Dominican Republic
0,13830,2022,VNL,Pool 6 - Week 3 - Women #77,Poland,China
0,13831,2022,VNL,Pool 6 - Week 3 - Women #78,Korea,Brazil
0,13832,2022,VNL,Pool 5 - Week 3 - Women #79,Belgium,Netherlands
0,13833,2022,VNL,Pool 5 - Week 3 - Women #80,Türkiye,Japan
0,13834,2022,VNL,Pool 5 - Week 3 - Women #81,Serbia,Canada
0,13835,2022,VNL,Pool 6 - Week 3 - Women #82,China,Dominican Republic
0,13836,2022,VNL,Pool 6 - Week 3 - Women #83,Italy,Korea
0,13837,2022,VNL,Pool 6 - Week 3 - Women #84,Brazil,Bulgaria
0,13838,2022,VNL,Pool 5 - Week 3 - Women #85,Türkiye,USA
0,13839,2022,VNL,Pool 5 - Week 3 - Women #86,Japan,Serbia
0,13840,2022,VNL,Pool 5 - Week 3 - Women #87,Germany,Canada
0,13841,2022,VNL,Pool 6 - Week 3 - Women #88,Dominican Republic,Poland
0,13842,2022,VNL,Pool 6 - Week 3 - Women #89,Brazil,Thailand
0,13843,2022,VNL,Pool 6 - Week 3 - Women #90,Italy,Bulgaria
0,13844,2022,VNL,Pool 5 - Week 3 - Women #91,Belgium,Japan
0,13845,2022,VNL,Pool 5 - Week 3 - Women #92,USA,Germany
0,13846,2022,VNL,Pool 5 - Week 3 - Women #93,Netherlands,Canada
0,13847,2022,VNL,Pool 6 - Week 3 - Women #94,China,Korea
0,13848,2022,VNL,Pool 6 - Week 3 - Women #95,Thailand,Italy
0,13849,2022,VNL,Pool 6 - Week 3 - Women #96,Poland,Bulgaria
0,13850,2022,VNL,Quarter-finals - Final Round - Women #97,USA,Serbia
0,13851,2022,VNL,Quarter-finals - Final Round - Women #98,Brazil,Japan
