,game_id,team,set_nr,action,player_nr,player_name,position,digs,errors,total,efficiency
83,11830,Belgium,3,dig,9,Demeyer ,OH,0,0,0,
84,11830,Belgium,3,dig,10,Sobolska ,MB,0,0,1,0.00
85,11830,Belgium,3,dig,13,Janssens ,MB,0,0,0,
86,11830,Belgium,3,dig,14,De Valkeneer ,OH,0,0,0,
87,11830,Belgium,3,dig,15,Van de Vyver ,S,0,0,0,
88,11830,Belgium,3,dig,19,Van Avermaet ,MB,0,0,0,
89,11830,Belgium,3,dig,21,Stragier ,OH,0,0,0,
91,11831,Türkiye,1,dig,4,İvegin ,OH,4,0,4,100.00
92,11831,Türkiye,1,dig,2,Aköz ,L,3,2,5,20.00
93,11831,Türkiye,1,dig,13,Boz ,O,2,0,2,100.00
94,11831,Türkiye,1,dig,8,Güveli ,MB,1,0,1,100.00
95,11831,Türkiye,1,dig,11,Naz ,S,1,0,1,100.00
96,11831,Türkiye,1,dig,3,Özbay ,S,0,0,0,
97,11831,Türkiye,1,dig,5,Ercan ,OH,0,0,0,
98,11831,Türkiye,1,dig,6,Akman ,MB,0,0,0,
99,11831,Türkiye,1,dig,7,Baladın ,OH,0,0,0,
100,11831,Türkiye,1,dig,9,Diken ,OH,0,0,0,
101,11831,Türkiye,1,dig,10,Aykaç ,L,0,0,0,
102,11831,Türkiye,1,dig,14,Erdem (C),MB,0,0,0,
103,11831,Türkiye,1,dig,19,Kalaç ,MB,0,0,0,
104,11831,Türkiye,1,dig,99,Karakurt ,OH,0,0,0,
106,11831,Türkiye,2,dig,7,Baladın ,OH,4,0,4,100.00
107,11831,Türkiye,2,dig,2,Aköz ,L,3,0,3,100.00
108,11831,Türkiye,2,dig,3,Özbay ,S,1,0,2,50.00
109,11831,Türkiye,2,dig,4,İvegin ,OH,1,0,1,100.00
110,11831,Türkiye,2,dig,8,Güveli ,MB,1,0,1,100.00
111,11831,Türkiye,2,dig,5,Ercan ,OH,0,0,0,
112,11831,Türkiye,2,dig,6,Akman ,MB,0,0,0,
113,11831,Türkiye,2,dig,9,Diken ,OH,0,0,0,
114,11831,Türkiye,2,dig,10,Aykaç ,L,0,0,0,
115,11831,Türkiye,2,dig,11,Naz ,S,0,0,1,0.00
116,11831,Türkiye,2,dig,13,Boz ,O,0,0,0,
117,11831,Türkiye,2,dig,14,Erdem (C),MB,0,0,0,
118,11831,Türkiye,2,dig,19,Kalaç ,MB,0,0,0,
119,11831,Türkiye,2,dig,99,Karakurt ,OH,0,0,0,
121,11831,Türkiye,3,dig,2,Aköz ,L,9,1,11,72.73
122,11831,Türkiye,3,dig,9,Diken ,OH,4,0,4,100.00
123,11831,Türkiye,3,dig,7,Baladın ,OH,2,0,2,100.00
124,11831,Türkiye,3,dig,11,Naz ,S,2,0,2,100.00
125,11831,Türkiye,3,dig,5,Ercan ,OH,1,0,2,50.00
126,11831,Türkiye,3,dig,13,Boz ,O,1,0,1,100.00
127,11831,Türkiye,3,dig,99,Karakurt ,OH,1,0,1,100.00
128,11831,Türkiye,3,dig,3,Özbay ,S,0,0,0,
129,11831,Türkiye,3,dig,4,İvegin ,OH,0,0,0,
130,11831,Türkiye,3,dig,6,Akman ,MB,0,0,0,
131,11831,Türkiye,3,dig,8,Güveli ,MB,0,0,0,
132,11831,Türkiye,3,dig,10,Aykaç ,L,0,0,0,
133,11831,Türkiye,3,dig,14,Erdem (C),MB,0,0,0,
134,11831,Türkiye,3,dig,19,Kalaç ,MB,0,0,0,
136,11831,Türkiye,4,dig,2,Aköz ,L,7,0,7,100.00
137,11831,Türkiye,4,dig,3,Özbay ,S,4,0,5,80.00
138,11831,Türkiye,4,dig,7,Baladın ,OH,4,0,5,80.00
139,11831,Türkiye,4,dig,9,Diken ,OH,2,0,3,66.67
140,11831,Türkiye,4,dig,19,Kalaç ,MB,2,0,2,100.00
141,11831,Türkiye,4,dig,99,Karakurt ,OH,2,1,3,33.33
142,11831,Türkiye,4,dig,4,İvegin ,OH,0,0,0,
143,11831,Türkiye,4,dig,5,Ercan ,OH,0,0,0,
144,11831,Türkiye,4,dig,6,Akman ,MB,0,0,0,
145,11831,Türkiye,4,dig,8,Güveli ,MB,0,0,0,
146,11831,Türkiye,4,dig,10,Aykaç ,L,0,0,0,
147,11831,Türkiye,4,dig,11,Naz ,S,0,0,0,
148,11831,Türkiye,4,dig,13,Boz ,O,0,0,0,
149,11831,Türkiye,4,dig,14,Erdem (C),MB,0,0,0,
151,11831,Türkiye,5,dig,5,Ercan ,OH,7,0,7,100.00
152,11831,Türkiye,5,dig,2,Aköz ,L,3,2,7,14.29
153,11831,Türkiye,5,dig,11,Naz ,S,2,0,2,100.00
154,11831,Türkiye,5,dig,19,Kalaç ,MB,2,0,2,100.00
155,11831,Türkiye,5,dig,9,Diken ,OH,1,0,1,100.00
156,11831,Türkiye,5,dig,3,Özbay ,S,0,0,0,
157,11831,Türkiye,5,dig,4,İvegin ,OH,0,0,0,
158,11831,Türkiye,5,dig,6,Akman ,MB,0,0,0,
159,11831,Türkiye,5,dig,7,Baladın ,OH,0,0,0,
160,11831,Türkiye,5,dig,8,Güveli ,MB,0,0,0,
161,11831,Türkiye,5,dig,10,Aykaç ,L,0,0,0,
162,11831,Türkiye,5,dig,13,Boz ,O,0,0,0,
163,11831,Türkiye,5,dig,14,Erdem (C),MB,0,0,2,0.00
164,11831,Türkiye,5,dig,99,Karakurt ,OH,0,0,0,
166,11831,Serbia,1,dig,2,Dangubić (C),OH,2,0,2,100.00
167,11831,Serbia,1,dig,26,Savic ,O,2,0,2,100.00
168,11831,Serbia,1,dig,23,Djordjevic ,S,1,1,2,0.00
169,11831,Serbia,1,dig,31,Djurdjevic ,L,1,1,4,0.00
170,11831,Serbia,1,dig,3,Caric ,O,0,0,0,
171,11831,Serbia,1,dig,6,Uzelac ,OH,0,0,0,
172,11831,Serbia,1,dig,7,Jaksic ,S,0,0,0,
173,11831,Serbia,1,dig,21,Kocic ,MB,0,0,0,
174,11831,Serbia,1,dig,22,Lozo ,O,0,0,0,
175,11831,Serbia,1,dig,24,Medic ,MB,0,0,1,0.00
176,11831,Serbia,1,dig,25,Markovic ,MB,0,0,0,
177,11831,Serbia,1,dig,28,Delic ,MB,0,0,0,
178,11831,Serbia,1,dig,32,Gocanin ,L,0,0,0,
179,11831,Serbia,1,dig,34,Mirosavljevic ,OH,0,0,0,
181,11831,Serbia,2,dig,2,Dangubić (C),OH,4,1,5,60.00
182,11831,Serbia,2,dig,31,Djurdjevic ,L,3,1,5,40.00
183,11831,Serbia,2,dig,3,Caric ,O,1,0,1,100.00
184,11831,Serbia,2,dig,7,Jaksic ,S,1,0,1,100.00
185,11831,Serbia,2,dig,24,Medic ,MB,1,0,1,100.00
186,11831,Serbia,2,dig,6,Uzelac ,OH,0,0,0,
187,11831,Serbia,2,dig,21,Kocic ,MB,0,0,0,
188,11831,Serbia,2,dig,22,Lozo ,O,0,0,0,
189,11831,Serbia,2,dig,23,Djordjevic ,S,0,0,0,
190,11831,Serbia,2,dig,25,Markovic ,MB,0,0,0,
191,11831,Serbia,2,dig,26,Savic ,O,0,0,0,
192,11831,Serbia,2,dig,28,Delic ,MB,0,0,0,
193,11831,Serbia,2,dig,32,Gocanin ,L,0,0,0,
194,11831,Serbia,2,dig,34,Mirosavljevic ,OH,0,1,1,-100.00
196,11831,Serbia,3,dig,31,Djurdjevic ,L,4,0,4,100.00
197,11831,Serbia,3,dig,2,Dangubić (C),OH,2,0,2,100.00
198,11831,Serbia,3,dig,3,Caric ,O,2,0,3,66.67
199,11831,Serbia,3,dig,34,Mirosavljevic ,OH,1,0,1,100.00
200,11831,Serbia,3,dig,6,Uzelac ,OH,0,0,0,
201,11831,Serbia,3,dig,7,Jaksic ,S,0,0,0,
202,11831,Serbia,3,dig,21,Kocic ,MB,0,1,1,-100.00
203,11831,Serbia,3,dig,22,Lozo ,O,0,0,1,0.00
204,11831,Serbia,3,dig,23,Djordjevic ,S,0,0,0,
205,11831,Serbia,3,dig,24,Medic ,MB,0,1,1,-100.00
206,11831,Serbia,3,dig,25,Markovic ,MB,0,0,0,
